study_identifier,participant.id_in_session,participant.code,participant.label,participant._current_page_name,participant.not_matched,session.code,consent.1.player.id_in_group,consent.1.player.prolific_id,consent.1.group.id_in_subsession,flip_task.1.player.num_heads,flip_task.1.player.total_guess_group_heads,flip_task.2.player.id_in_group,flip_task.2.player.payoff,flip_task.2.player.flip_time_seconds,flip_task.2.player.num_heads,flip_task.2.player.average_group_heads_reported,flip_task.2.player.treat,flip_task.2.player.treat_string,flip_task.2.player.not_matched,flip_task.2.group.id_in_subsession,flip_task.2.group.group_payoff,survey.1.player.bonus_cents,survey.1.player.most_common_head,survey.1.player.flip_misreporting,survey.1.player.flip_shirking,survey.1.player.household_satisfy,survey.1.player.attention_fatal,survey.1.player.bfi_is_reserved,survey.1.player.bfi_is_trust,survey.1.player.bfi_does_job,survey.1.player.bfi_is_relaxed,survey.1.player.bfi_active_imag,survey.1.player.bfi_is_social,survey.1.player.bfi_fault,survey.1.player.bfi_lazy,survey.1.player.bfi_nervous,survey.1.player.bfi_artistic,survey2.1.player.lie_misrepresent,survey2.1.player.lie_shirking,survey2.1.player.lie_significant_other,survey2.1.player.lie_dating,survey2.1.player.lie_taxes,survey2.1.player.misreport_time_seconds,survey2.1.player.misreport,survey2.1.player.misreport_justify,survey2.1.player.misreport_paste_status,Participant id,Status,Started at,Completed at,Total approvals,Age,Sex,Ethnicity simplified,Country of birth,Country of residence,Nationality,Language,Student status,Employment status,avg_group_heads,flip_payoff,bonus_cent,final_bonus_dollars,survey2.1.player.misreport_justify_time_seconds,debrief.1.player.debrief_time_seconds,Unnamed: 0,bulk_approve
24_0920_Treat1_test,4,hoe5oycn,6695745ee6d6f8975139350a,Debrief,,xqa2dma4,4,6695745ee6d6f8975139350a,1,10000,11,1,30,26,3,,1,Treatment1,0,3,,10,5,75,80,2,0,2,2,2,2,3,4,5,3,5,2,0,0,0,0,0,10,0,"in my opinion misreporting the coin flipping games can't can't be justified. it's just someone trying to get more money through bonses would be my guess, but then it's only a guess. that's something would weigh on your conscience and eat away at you, or it would me at least",FALSE,6695745ee6d6f8975139350a,APPROVED,2024-09-20T23:08:59.264000Z,2024-09-20T23:19:15.316000Z,89,52,Female,White,United States,United States,United States,English,No,Unemployed (and job seeking),,30,10,0.4,,,2,yes
24_0920_Treat1_test,5,gs08y3th,5cd5f2c2dcabe8001d040bd1,Debrief,,xqa2dma4,5,5cd5f2c2dcabe8001d040bd1,1,10000,16,3,50,42,5,,1,Treatment1,0,2,,10,5,37,29,2,0,2,4,1,2,2,2,2,4,2,2,11,6,23,12,84,3,0,I do not think that misreporting can be justified at all in the studies.There's no reason to lie.You should just find the studies that fit for you and answer them correctly.So that the people doing the research can have the proper results,FALSE,5cd5f2c2dcabe8001d040bd1,APPROVED,2024-09-20T23:09:03.774000Z,2024-09-20T23:15:28.312000Z,947,32,Female,White,United States,United States,United States,English,No,Full-Time,,50,10,0.6,,,3,yes
24_0920_Treat1_test,6,xrhv9rif,60ade46b01064a8f7aa6c325,Debrief,,xqa2dma4,6,60ade46b01064a8f7aa6c325,1,10000,17,1,60,31,6,,1,Treatment1,0,4,,0,6,10,10,3,0,1,4,3,5,1,5,4,2,3,5,0,0,0,0,0,11,0,The only justifiable reason for a misreporting  of the coinflip number is if the person accidentally clicked the wrong number and didn't double check their answers before clicking on the next button..,FALSE,60ade46b01064a8f7aa6c325,APPROVED,2024-09-20T23:09:01.905000Z,2024-09-20T23:18:15.840000Z,195,35,Male,White,United States,United States,United States,English,No,DATA_EXPIRED,,60,0,0.6,,,4,yes
24_0920_Treat1_test,8,oysrlbga,66edfd0393a07105ff1c86a2,Debrief,,xqa2dma4,8,66edfd0393a07105ff1c86a2,1,10000,9,1,30,13,3,,1,Treatment1,0,5,,0,3,75,10,3,0,2,2,1,2,3,4,5,2,3,2,0,0,10,20,0,14,0,"I think it would be counterproductive to misreport information. I would hope that while earning extra cash that I could be helping in some manner. Therefore, I would not misrepresent myself. However, if people were to lie, I would suspect it would be when they are told they will get paid more if they give a certain answer. ",FALSE,66edfd0393a07105ff1c86a2,APPROVED,2024-09-20T23:09:41.671000Z,2024-09-20T23:21:15.643000Z,0,51,Female,White,United States,United States,United States,English,No,DATA_EXPIRED,,30,0,0.3,,,6,yes
24_0920_Treat1_test,9,ka3ligh6,55b1a3b5fdf99b68190ce5ec,Debrief,,xqa2dma4,9,55b1a3b5fdf99b68190ce5ec,1,10000,18,2,70,270,7,,1,Treatment1,0,5,,10,5,20,3,2,0,4,1,2,4,1,2,2,2,2,2,5,0,5,5,5,10,0,"Some kind of danger or hardship, such as threats, coercion, etc. Possibly the reporter being under extreme financial circumstances or having technical difficulties and trying to provide the best information they can.",FALSE,55b1a3b5fdf99b68190ce5ec,APPROVED,2024-09-20T23:10:09.801000Z,2024-09-20T23:24:08.151000Z,279,36,Female,Mixed,United States,United States,United States,English,No,Other,,70,10,0.8,,,7,yes
24_0920_Treat1_test,10,wio84235,66ed8d8400d3e0f7569819e1,Debrief,,xqa2dma4,10,66ed8d8400d3e0f7569819e1,1,10000,18,3,40,33,4,,1,Treatment1,0,3,,0,6,63,84,4,0,1,2,2,2,2,5,5,5,2,5,0,0,0,0,0,8,0,0%   - It is never okay to misrepresent yourself or misreport anything. What is the point in misreporting? why not be honest?                                                                                                                                                 ,FALSE,66ed8d8400d3e0f7569819e1,APPROVED,2024-09-20T23:10:09.890000Z,2024-09-20T23:15:25.720000Z,5,37,Female,White,United States,United States,United States,English,No,DATA_EXPIRED,,40,0,0.4,,,8,yes
24_0920_Treat1_test,11,51vko2z7,60fd0305072d45ab6c533411,Debrief,,xqa2dma4,11,60fd0305072d45ab6c533411,1,10000,18,3,30,54,3,,1,Treatment1,0,5,,0,4,25,65,5,0,4,2,2,5,2,2,3,2,1,2,2,0,8,0,15,11,0,Misreporting has been justified very rarely but at one point I did 2-3 job position related surveys as if I were still in the job position I had just left. Answering the questions as I did was reasonable because for research purposes I was able to answer the questions appropriately with proper knowledge and information.,FALSE,60fd0305072d45ab6c533411,APPROVED,2024-09-20T23:10:39.559000Z,2024-09-20T23:20:58.398000Z,567,24,Female,White,United States,United States,United States,English,No,Part-Time,,30,0,0.3,,,9,yes
24_0920_Treat1_test,12,i5fgxwkg,6563b25ae817db3fa10a5bcb,Debrief,,xqa2dma4,12,6563b25ae817db3fa10a5bcb,1,10000,15,2,60,7,6,,1,Treatment1,0,4,,10,5,10,30,5,0,2,2,2,3,3,3,4,4,2,4,0,0,20,0,0,3,0,"If the person did not possess hands or the fingers required to flip a coin, they might be justified in misreporting. If they were blind that could also be a reason. If they were not in possession of a coin, that would also be a legitimate reason. ",FALSE,6563b25ae817db3fa10a5bcb,APPROVED,2024-09-20T23:10:42.835000Z,2024-09-20T23:16:40.496000Z,0,52,Male,White,United States,United States,United States,English,No,Full-Time,,60,10,0.7,,,10,yes
24_0920_Treat1_test,13,xcyb0zlb,665355110717423d4cdaac65,Debrief,,xqa2dma4,13,665355110717423d4cdaac65,1,10000,15,3,60,12,6,,1,Treatment1,0,4,,0,6,80,91,7,0,3,1,2,2,1,2,5,2,3,5,0,0,0,0,0,5,0,Misreporting usually cannot be justified even with very specific circumstances. The only situation I can conjure up that misreporting could be justified is if the misreporting is key in protecting someone from harm or to keep their trust. ,TRUE,665355110717423d4cdaac65,APPROVED,2024-09-20T23:10:43.434000Z,2024-09-20T23:23:58.873000Z,11,18,Male,White,United States,United States,Colombia,English,Yes,Due to start a new job within the next month,,60,0,0.6,,,11,yes
24_0921_Treat1_30_error,1,1tfbvmp8,62778bd8b195693397330c4f,Debrief,,vmxfjtpr,1,62778bd8b195693397330c4f,1,10000,15,1,40,88,4,,1,Treatment1,0,2,,10,5,15,50,5,0,3,4,2,4,2,3,3,3,2,3,1,3,50,0,20,9,0,I am not aware of any circumstances that merit misreporting in this context and for this study given the the compensation that is provided to participants for engaging in the tasks requested on Prolific.,FALSE,62778bd8b195693397330c4f,APPROVED,2024-09-21T17:56:58.384000Z,2024-09-21T18:08:30.722000Z,1275,49,Male,White,United States,United States,United States,English,DATA_EXPIRED,Full-Time,,40,10,0.5,,,0,yes
24_0921_Treat1_30_error,3,yceci7wf,6428d2bd557b0e5ebb6191ae,Debrief,,vmxfjtpr,3,6428d2bd557b0e5ebb6191ae,1,10000,9,1,30,14,3,,1,Treatment1,0,3,,0,7,66,88,0,0,1,2,1,2,2,3,5,1,1,1,0,0,0,0,0,11,0,"I guess if they don’t currently have a coin or in a public space where it would be in appropriate to toss coins. That’s the only thing I can think of in the moment, 200 characters is too many to ask for such a simple question lol",FALSE,6428d2bd557b0e5ebb6191ae,APPROVED,2024-09-21T17:59:10.654000Z,2024-09-21T18:11:42.245000Z,114,52,Female,White,United States,United States,United States,English,No,Unemployed (and job seeking),,30,0,0.3,,,2,yes
24_0921_Treat1_30_error,4,3807x8df,66ee971b3f559ccbdadece04,Debrief,,vmxfjtpr,4,66ee971b3f559ccbdadece04,1,10000,16,2,40,85,4,,1,Treatment1,0,3,,0,7,59,16,3,0,1,5,1,1,3,4,2,5,4,2,0,0,21,8,0,8,0,"I dont believe misrepresentation during studies can be justified. I believe in science and in the integrity of research. And because of  this I would not feel good about myself if I misreported information, and I dont believe others would be justified either.",FALSE,66ee971b3f559ccbdadece04,APPROVED,2024-09-21T17:59:32.288000Z,2024-09-21T18:10:33.702000Z,3,37,Male,White,United States,United States,United States,English,No,Full-Time,,40,0,0.4,,,3,yes
24_0921_Treat1_30_error,6,gjadyer3,66ef05714c7f155293e79a0e,Debrief,,vmxfjtpr,6,66ef05714c7f155293e79a0e,1,10000,16,3,60,17,6,,1,Treatment1,0,3,,0,6,17,10,4,0,2,2,1,3,2,4,3,3,2,1,0,0,0,0,0,14,0,"I do not think there are any situations where misreporting would be justified as this jeopardizes the project I am working on.  Without truthful information, the information gathered in the survey is useless and misleading.  Also, the instructions state that there are no repercussions for our answers. So, nothing is gained by lying in my answers and nothing is lost if I tell the truth. There are no circumstances where I would lie or misreport information in this survey.  There is also an ethical problem with misrepresenting myself in any situation.   ",FALSE,66ef05714c7f155293e79a0e,APPROVED,2024-09-21T18:00:09.070000Z,2024-09-21T18:17:58.109000Z,0,43,Female,White,United States,United States,United States,English,No,DATA_EXPIRED,,60,0,0.6,,,5,yes
24_0921_Treat1_30_error,7,zvcgdvsv,66363c222c6145567caffc66,Debrief,,vmxfjtpr,7,66363c222c6145567caffc66,1,10000,18,1,70,95,7,,1,Treatment1,0,4,,10,5,70,20,1,0,3,4,2,2,2,3,4,3,4,4,0,0,20,0,0,17,0,"There are no circumstances to which misreporting could be justified concerning the percentage I reported. When I signed up for this study, I agreed to be honest and report factual information in order to receive my pay.",FALSE,66363c222c6145567caffc66,APPROVED,2024-09-21T18:01:04.205000Z,2024-09-21T18:15:41.795000Z,28,42,Female,Black,United States,United States,United States,English,No,Full-Time,,70,10,0.8,,,6,yes
24_0921_Treat1_30_error,8,p7c0kz75,66e7c5e08d2f821a9479dee3,Debrief,,vmxfjtpr,8,66e7c5e08d2f821a9479dee3,1,10000,5,2,50,32,5,,1,Treatment1,0,4,,0,4,53,75,0,1,3,4,2,2,2,3,4,4,2,2,0,0,0,0,0,5,0,There is no justification for misreporting. A person should always be honest and do the task. When you lie you hurt yourselves and others. Telling a lie leads to other dishonesty. It can also lead to crime.,FALSE,66e7c5e08d2f821a9479dee3,APPROVED,2024-09-21T18:02:04.860000Z,2024-09-21T18:14:13.227000Z,3,59,Male,White,United States,United States,United States,English,No,"Not in paid work (e.g. homemaker', 'retired or disabled)",,50,0,0.5,,,7,yes
24_0921_Treat1_12,1,ajqz0ngl,666f1f1997cd47bbc198055c,Debrief,,cowe9gtf,1,666f1f1997cd47bbc198055c,1,10000,19,1,60,10,6,10000,1,Treatment1,0,2,10000,10,5,70,50,10,0,1,2,1,1,1,4,3,3,2,1,0,7,0,0,0,3,0,If someone’s coin fell and they forgot what it said. Some people struggle with flipping of a coin due to a disability. They may not have a proper coin so they may have used an object that flips and labeled one side as heads vs tails,FALSE,666f1f1997cd47bbc198055c,APPROVED,2024-09-21T19:32:07.684000Z,2024-09-21T19:38:54.964000Z,10,29,Female,Other,United States,United States,United States,English,No,Full-Time,,60,10,0.7,,,0,yes
24_0921_Treat1_12,2,hgoktbqf,66ef0ff7f652867f36b0a753,Debrief,,cowe9gtf,2,66ef0ff7f652867f36b0a753,1,10000,15,2,40,54,4,10000,1,Treatment1,0,2,10000,0,6,61,18,2,0,3,2,2,2,2,3,3,3,3,2,1,0,0,0,0,12,0,"Misreporting can sometimes be justified under specific circumstances, particularly when it serves a greater good or protects vulnerable individuals. For example, in sensitive situations like domestic violence cases, individuals might underreport incidents to avoid further harm or escalation. Similarly, in research contexts, participants may misreport their experiences due to fear of judgment or stigma, leading researchers to adjust findings to reflect a more accurate societal understanding.  In instances where accurate reporting could lead to significant societal harm—such as national security concerns or public health crises—governments may opt to present information in a way that prevents panic or misinformation. Furthermore, in environments where honesty could result in severe personal consequences, individuals might feel compelled to misreport to safeguard their well-being.  That said, any justification for misreporting must be carefully weighed against the potential consequences of misinformation, as it can undermine trust and accountability. Transparency, context, and ethical considerations should guide decisions around reporting practices to ensure that any deviations from accuracy are done with a clear and justifiable purpose.",TRUE,66ef0ff7f652867f36b0a753,APPROVED,2024-09-21T19:32:15.573000Z,2024-09-21T19:40:58.724000Z,2,20,Male,Black,United States,United States,United States,English,Yes,DATA_EXPIRED,,40,0,0.4,,,1,yes
24_0921_Treat1_12,3,epm59rf7,666b6b53cf3e2fe855e4031c,Debrief,,cowe9gtf,3,666b6b53cf3e2fe855e4031c,1,10000,16,3,40,7,4,10000,1,Treatment1,0,2,10000,0,4,40,65,6,0,2,3,1,4,5,1,2,4,4,2,0,10,20,0,0,10,0,"Misreporting could be justified if answers were not anonymous, if answers are unknown, or there is a bias regarding study guidelines regarding race, ethnicity, age, or gender. Otherwise, there is no sense in misreporting on studies.",FALSE,666b6b53cf3e2fe855e4031c,APPROVED,2024-09-21T19:32:37.674000Z,2024-09-21T19:40:50.779000Z,9,22,Female,White,United States,United States,United States,English,No,Full-Time,,40,0,0.4,,,2,yes
24_0921_Treat1_12,4,a59uxrw1,66ef1123f6bc8174cf6514ce,Debrief,,cowe9gtf,4,66ef1123f6bc8174cf6514ce,1,10000,30,1,80,25,8,10000,1,Treatment1,0,3,10000,0,7,24,67,1,0,1,2,3,4,5,6,5,4,3,2,66,73,0,0,100,5,1,"13) Of the percentage you reported, under what circumstances could misreporting be justified?   Note: All text responses will be individually reviewed and subject to AI detection. Please use the text box below and write in no fewer than 200 characters in your own words.",TRUE,66ef1123f6bc8174cf6514ce,APPROVED,2024-09-21T19:32:55.453000Z,2024-09-21T19:41:15.073000Z,0,53,Female,White,United States,United States,United States,English,No,Full-Time,,80,0,0.8,,,3,yes
24_0921_Treat1_12,5,7a96t2ja,66ecacaae782ea94cd9bfbd8,Debrief,,cowe9gtf,5,66ecacaae782ea94cd9bfbd8,1,10000,20,2,70,58,7,10000,1,Treatment1,0,3,10000,10,5,60,40,7,0,2,1,2,2,1,2,3,5,3,1,0,0,2,1,0,35,0,there will be no circumstance that would  cause me to misreport what i believe to be the problem or the solution at hand because i stand not to gain or lose if i do the right thing to make my work worthwhile,FALSE,66ecacaae782ea94cd9bfbd8,APPROVED,2024-09-21T19:33:11.380000Z,2024-09-21T19:52:16.212000Z,0,53,Male,Other,United States,United States,United States,English,Yes,Full-Time,,70,10,0.8,,,4,yes
24_0921_Treat1_12,7,0jrspo6m,66751ac0a38954562d5d22a8,Debrief,,cowe9gtf,7,66751ac0a38954562d5d22a8,1,10000,19,3,60,17,6,10000,1,Treatment1,0,3,10000,10,5,5,2,7,0,1,1,1,1,1,1,4,4,4,3,0,0,0,0,0,30,0,I am very truthful and sincere in allthe tasks I do. I am a reserved person who does genuine activities. The percentages I provided are very truthful and not misreported. The percentages I reported are real and I have experienced them.,FALSE,66751ac0a38954562d5d22a8,APPROVED,2024-09-21T19:34:36.686000Z,2024-09-21T19:48:03.287000Z,281,25,Male,Mixed,United States,United States,United States,English,No,DATA_EXPIRED,,60,10,0.7,,,5,yes
24_0921_Treat1_12,8,xujg0yex,66e9dae5d3a97bde125e0b30,Debrief,,cowe9gtf,8,66e9dae5d3a97bde125e0b30,1,10000,19,1,60,26,6,10000,1,Treatment1,0,4,10000,10,5,37,21,2,0,2,4,2,2,1,4,5,2,5,1,0,4,72,38,8,12,0,"If you dont have a quarter then you are unable to flip so misrepresenting would then be justifiable. However, I did drop my quarter a few times so I had to start over again but I still flipped heads 6 times. ",FALSE,66e9dae5d3a97bde125e0b30,APPROVED,2024-09-21T19:35:53.499000Z,2024-09-21T19:49:43.289000Z,2,53,Female,Black,United States,United States,United States,English,Yes,Full-Time,,60,10,0.7,,,6,yes
24_0921_Treat1_12,9,izvsus3g,66ef174f58710d7ddbb50dd8,Debrief,,cowe9gtf,9,66ef174f58710d7ddbb50dd8,1,10000,13,2,60,38,6,10000,1,Treatment1,0,4,10000,0,6,30,19,3,0,5,2,1,1,1,2,5,5,1,2,0,0,9,12,0,12,0,Misreporting could be justified if a participant could not find a coin to do the coin flip.  Sometimes people do not have spare change readily available.  Another time misreporting might be justified is misunderstanding.,FALSE,66ef174f58710d7ddbb50dd8,APPROVED,2024-09-21T19:37:24.610000Z,2024-09-21T19:49:58.263000Z,0,24,Male,White,United States,United States,United States,English,No,DATA_EXPIRED,,60,0,0.6,,,7,yes
24_0921_Treat1_12,10,lwo9d096,5f4e21b1d8bdcab16ac4481a,Debrief,,cowe9gtf,10,5f4e21b1d8bdcab16ac4481a,1,10000,15,3,60,40,6,10000,1,Treatment1,0,4,10000,0,10,60,45,3,0,2,5,5,1,2,4,2,1,3,3,20,10,30,50,20,4,0,"I don't believe misreporting is justified in any case outside of cases of life or death, in which case the participant should probably be using a more efficient way of earning money than Prolific anyway",FALSE,5f4e21b1d8bdcab16ac4481a,APPROVED,2024-09-21T19:38:24.128000Z,2024-09-21T19:45:42.691000Z,739,31,Male,Asian,Korea,United States,United States,English,No,DATA_EXPIRED,,60,0,0.6,,,8,yes
24_0921_Treat1_12,11,elclnb80,66ee9436fdc916ec83068569,Debrief,1,cowe9gtf,11,66ee9436fdc916ec83068569,1,10000,16,1,50,17,5,10000,1,Treatment1,1,5,10000,10,5,75,66,4,0,2,2,2,2,2,2,3,3,3,3,24,10,10,10,0,6,0,"If a coin was not adequately flipped, if it rolled or was dropped. If someone miscounted flips and either under counted or over counted. If a coin with an error was used or misprinted. If they lost count of the results and just guessed.",FALSE,66ee9436fdc916ec83068569,APPROVED,2024-09-21T19:39:33.314000Z,2024-09-21T19:50:45.361000Z,10,33,Female,White,Germany,United States,United States,English,No,"Not in paid work (e.g. homemaker', 'retired or disabled)",,50,10,0.6,,,9,yes
24_0921_Treat1_12,12,z3zc2jes,65c6decbf7aecbd9160aa3d9,Debrief,1,cowe9gtf,12,65c6decbf7aecbd9160aa3d9,1,10000,0,1,50,52,5,10000,1,Treatment1,1,6,10000,10,5,19,70,10,0,5,1,1,1,1,1,4,5,5,2,0,0,0,0,0,22,0,"Misreporting can be justified in limited circumstances such as when personal safety, national security, or privacy concerns are at stake. However, it must still be carefully weighed against ethical principles like honesty and transparency. For example, during wartime, governments might withhold or misreport sensitive military information to protect lives or prevent panic. In scientific research, misreporting data is rarely acceptable, as it compromises the integrity of findings. Overall, while there may be instances where withholding information is necessary, deliberate misreporting undermines trust and credibility.",TRUE,65c6decbf7aecbd9160aa3d9,APPROVED,2024-09-21T19:39:55.840000Z,2024-09-21T19:59:57.332000Z,421,38,Male,Asian,Bangladesh,United States,United States,English,DATA_EXPIRED,DATA_EXPIRED,,50,10,0.6,,,10,yes
24_0921_Treat1_12,16,zbxwltur,5a2cd6e98e00a0000198677e,Debrief,1,cowe9gtf,16,5a2cd6e98e00a0000198677e,1,10000,11,1,60,8,6,10000,1,Treatment1,1,9,10000,10,5,50,63,0,0,2,4,2,4,3,3,2,2,1,2,0,0,0,0,0,4,0,"I don't think there should be circumtances where it could be justified to misreport. Maybe if you truly didn't have a coin and just used something similar, then I suppose it could be justified. Or maybe if you've done something similar recently and know how many times you got heads or tails.",FALSE,5a2cd6e98e00a0000198677e,APPROVED,2024-09-21T20:14:11.825000Z,2024-09-21T20:23:45.397000Z,1139,35,Female,Mixed,United States,United States,United States,English,DATA_EXPIRED,DATA_EXPIRED,,60,10,0.7,,,14,yes
24_0921_Treat2_12,2,bl7dxgcm,66ec69d204145257feb0cd33,Debrief,,rz9stzbp,2,66ec69d204145257feb0cd33,1,10000,16,3,3,67,4,10000,2,Treatment2,0,3,3,10,5,50,70,7,0,3,2,1,1,1,2,5,5,5,3,0,0,0,0,0,13,0,"Under no circumstance would any form of misrepresentation be justified in my opinion. Although people may have their reasons, i do not have any reason to misrepresent myself.  Yeah  that is all i can say.",FALSE,66ec69d204145257feb0cd33,APPROVED,2024-09-21T20:29:03.415000Z,2024-09-21T20:41:15.297000Z,11,38,Male,Black,United States,United States,United States,English,No,Full-Time,3.333333333,33.33333333,10,0.433333333,,,1,yes
24_0921_Treat2_12,3,75xqr736,66ef25360eab24a20d4a700e,Debrief,,rz9stzbp,3,66ef25360eab24a20d4a700e,1,10000,26,2,3,6,6,10000,2,Treatment2,0,2,3335,10,5,69,50,6,0,4,4,2,2,2,1,4,4,4,2,0,0,0,0,0,8,0,"None. It was a simple task - flip the coin and report heads or tails. People may have miscounted their heads, but I think it was more likely people may have made something up so they would not have to find a coin.",FALSE,66ef25360eab24a20d4a700e,APPROVED,2024-09-21T20:29:13.358000Z,2024-09-21T20:36:48.211000Z,0,37,Female,White,United States,United States,United States,English,No,DATA_EXPIRED,3.666666667,36.66666667,10,0.466666667,,,2,yes
24_0921_Treat2_12,4,wmvwb853,578eb23fc6144900014a2c15,Debrief,,rz9stzbp,4,578eb23fc6144900014a2c15,1,10000,15,3,0,94,5,10000,2,Treatment2,0,2,3335,0,6,10,10,2,0,1,3,1,3,2,5,2,4,2,5,0,0,5,0,10,6,0,"Honestly, I don't think it can ever be justified. But I do think it can be explained -- like, someone really needs the money, so every extra 10 cents helps. I still don't think that justifies the misreporting, though, even if it is very understandable.",FALSE,578eb23fc6144900014a2c15,APPROVED,2024-09-21T20:29:52.123000Z,2024-09-21T20:37:48.220000Z,1229,42,Female,Asian,United States,United States,United States,English,No,Full-Time,3.666666667,36.66666667,0,0.366666667,,,3,yes
24_0921_Treat2_12,5,3rd235lo,65e4c681dcfff6181de40f54,Debrief,,rz9stzbp,5,65e4c681dcfff6181de40f54,1,10000,12,1,0,11,2,10000,2,Treatment2,0,3,3,10,5,0,0,7,0,2,1,1,1,1,1,5,3,5,1,0,0,0,0,0,10,0,The only reason I see misreporting being justified is when someone who is in a less that fortunate position is using it for personal gain without it affecting any other persons performance. If misreporting gives more benefits than cons than it may be in everyone's best interest to misreport something. ,FALSE,65e4c681dcfff6181de40f54,APPROVED,2024-09-21T20:30:05.411000Z,2024-09-21T20:37:16.642000Z,26,31,Male,Mixed,United States,United States,United States,English,No,DATA_EXPIRED,3.333333333,33.33333333,10,0.433333333,,,4,yes
24_0921_Treat2_12,6,63iye4d9,610759f3f86432c555bbebfd,Debrief,,rz9stzbp,6,610759f3f86432c555bbebfd,1,10000,6,2,0,6,4,10000,2,Treatment2,0,3,3,10,5,71,89,1,0,1,1,1,5,1,5,2,2,1,4,6,7,16,0,0,6,0,"People could have been too lazy to look for a coin so they found it easy to just make up a number and lie. Since participants know that there is no way for researchers to verify or confirm that everyone flipped their coin, most people probably didn't even move away from their computer.",FALSE,610759f3f86432c555bbebfd,APPROVED,2024-09-21T20:32:04.274000Z,2024-09-21T20:39:24.237000Z,796,23,Female,DATA_EXPIRED,United States,United States,United States,Spanish,DATA_EXPIRED,DATA_EXPIRED,3.333333333,33.33333333,10,0.433333333,,,5,yes
24_0921_Treat2_12,7,tfrina1c,66de0d0437377f4ae27c5860,Debrief,,rz9stzbp,7,66de0d0437377f4ae27c5860,1,10000,15,1,0,99,6,10000,2,Treatment2,0,4,3,10,5,65,30,8,0,3,2,2,4,1,4,4,3,3,1,0,0,0,0,0,10,0,"None.  There is no reason to misrepresent the facts related to an exercise of this nature.  There is no significant gain nor loss by being dishonest unless someone has a perverse need to skew data.  However, there will always be outliers in data - anomolies that may, or  may not, impact the outcome of any use of the data.  For instance, if  this were a drug study and I did not report adverse reactions, it could have a fatal impact on an a patient that relied on the drug to be safe; this of course presumes that an impactful number of study participants underreported side effects.",FALSE,66de0d0437377f4ae27c5860,APPROVED,2024-09-21T20:32:06.753000Z,2024-09-21T20:46:52.939000Z,1,68,Female,White,United States,United States,United States,English,No,Full-Time,5.333333333,53.33333333,10,0.633333333,,,6,yes
24_0921_Treat2_12,8,j4yq9wow,663a7379aca69d9c20130cd1,Debrief,1,rz9stzbp,8,663a7379aca69d9c20130cd1,1,10000,21,1,0,78,4,10000,2,Treatment2,1,7,3,0,7,35,35,0,0,3,1,1,3,3,3,3,5,3,1,2,2,0,0,0,8,0,"Sometimes I may feel one way about myself and that changes over days/weeks/months. My identity changes a lot. I just went through my prolific profile and was changing my answers as I felt some of the answers did not properly show who I currently am. I feel when I read questions I may think one thing and then over time may feel the question is asking something different. I am autistic and have a hard time with understanding the end goal of questions at times. Any ""misreporting"" would be sincere accident. I reported there is problem a little bit of this as it is normal. I am only human.",FALSE,663a7379aca69d9c20130cd1,APPROVED,2024-09-21T20:32:13.671000Z,2024-09-21T20:57:12.770000Z,88,29,Female,White,United States,United States,United States,English,No,Other,4,40,0,0.4,,,7,yes
24_0921_Treat2_12,9,o0hsa4vg,66a2999783b434f7f5901257,Debrief,,rz9stzbp,9,66a2999783b434f7f5901257,1,10000,17,2,0,77,6,10000,2,Treatment2,0,4,3,0,8,30,15,0,0,4,3,3,4,1,3,2,2,2,5,0,0,5,1,100,12,0,"Misreporting can be justified to protect the survey taker's identity/livelihood, if there is great financial need, or if the misreporting was a mistake. Any circumstance in which a person does not feel safe giving accurate information seems justifiable.",FALSE,66a2999783b434f7f5901257,APPROVED,2024-09-21T20:32:43.185000Z,2024-09-21T20:46:00.329000Z,4,27,Female,White,United States,United States,United States,English,No,"Not in paid work (e.g. homemaker', 'retired or disabled)",5.333333333,53.33333333,0,0.533333333,,,8,yes
24_0921_Treat2_12,10,h9uf0ya4,65821ba3b24f79a07587f77e,Debrief,,rz9stzbp,10,65821ba3b24f79a07587f77e,1,10000,15,3,0,51,4,10000,2,Treatment2,0,4,3,10,5,15,10,0,0,2,4,2,4,1,4,2,4,2,2,0,0,0,10,0,4,0,I don't believe any percentage of misreporting is justified during a paid study. It's unethical to accept compensation without making a genuine efforts towards the goal of the task. Misreporting would likely cause serious issues with the reliability of the study being conducted. ,FALSE,65821ba3b24f79a07587f77e,APPROVED,2024-09-21T20:35:16.010000Z,2024-09-21T20:41:24.100000Z,1,44,Male,Asian,Korea,United States,United States,English,DATA_EXPIRED,DATA_EXPIRED,5.333333333,53.33333333,10,0.633333333,,,9,yes
24_0921_Treat2_12,11,lbv8kydr,632b7129a7fcb650fd06c81d,Debrief,1,rz9stzbp,11,632b7129a7fcb650fd06c81d,1,10000,17,1,0,33,7,10000,2,Treatment2,1,5,3,0,7,80,60,3,0,2,2,2,4,2,3,3,3,2,2,5,5,15,0,0,17,0,I think misreporting could be somewhat justified if they were very much struggling financially. In fact I think this study is expecting people to misreport so they are in a sense helping the study along in some sense.,FALSE,632b7129a7fcb650fd06c81d,APPROVED,2024-09-21T20:39:09.311000Z,2024-09-21T20:51:21.274000Z,1739,26,Male,White,United States,United States,United States,English,DATA_EXPIRED,Part-Time,7,70,0,0.7,,,10,yes
